feature,importance,rank
text__bank america,3.310037657775158,1
text__deposited closed,2.72162144541165,2
text__fargo opened,2.5600810006525054,3
text__bank honored,2.5310491234241073,4
text__fees,2.5288517642785013,5
text__chase charged,2.5213230912272757,6
text__cashed twice,2.448107090169097,7
text__financial center,2.408791371746288,8
text__boa,2.3000839846625496,9
text__fee,2.2610549527331103,10
text__bonus sent,2.2436571160996786,11
text__direct express,2.2146713983402777,12
text__close check,2.184746723540747,13
text__charge requested,2.178595782136736,14
text__online login,2.174558351658736,15
text__stating credit,2.173103457908372,16
text__account continues,2.155657324607737,17
text__times resolve,2.146003652662397,18
text__sold car,2.1383782878269746,19
text__following dates,2.1168319221703578,20
text__submitted claims,2.1094257989654195,21
text__completed terms,2.108761477281843,22
text__td,2.1040300710760858,23
text__went td,2.082886373124337,24
text__accounts attempted,2.070566790349308,25
text__fraud blocked,2.0698714536632306,26
text__bonus,2.0569788093775263,27
text__refund nsf,2.0396740402860343,28
text__bank mishandled,2.03705777555809,29
text__second fee,2.036018256132042,30
text__investment opportunities,2.034233825236422,31
text__fargo fraud,2.0324989915291645,32
text__check didnt,2.030361215440965,33
text__resolution team,2.025151110164268,34
text__firstly,2.023343973523008,35
text__huntington,2.0150674612436315,36
text__calls told,2.0148671400522913,37
text__didnt access,2.0138030079008793,38
text__saying claim,2.007240453310935,39
text__bureau complaint,2.0064928541312654,40
text__regulations bank,2.0064390803181413,41
text__promises,2.0027848470338725,42
text__deposited called,1.9992685350764068,43
text__available wells,1.9898627157639666,44
text__bofa,1.9892709276666074,45
text__did trust,1.976442431804421,46
text__cycle,1.970617953332516,47
text__available withdraw,1.9663888154833251,48
text__went asked,1.961954418921181,49
text__way work,1.9602178222600564,50
text__upgraded,1.9555344622030528,51
text__approve dispute,1.952854641764039,52
text__contacted text,1.9527741459845207,53
text__account won,1.9520006627524198,54
text__email notice,1.9509087662418727,55
text__order number,1.945949543967745,56
text__stating charge,1.9435788670474852,57
text__payroll provider,1.9394517843905235,58
text__said company,1.9322415833502486,59
text__deposit cd,1.92331575045286,60
text__clear violation,1.92271447835153,61
text__company involved,1.918316468213833,62
text__service resolution,1.9181195059799194,63
text__provision credit,1.9161457777816642,64
text__eligible refund,1.9142574327203699,65
text__checking debit,1.9138818517001253,66
text__like asked,1.9115909189643132,67
text__contacting cfpb,1.9096228766050736,68
text__report immediately,1.9089381156795582,69
text__bank deducted,1.9089179479844463,70
text__serial,1.9069902015607774,71
text__reason charged,1.9009274687928537,72
text__pnc closed,1.897970349871246,73
text__charged maintenance,1.8950785155923144,74
text__pin attempts,1.893289252967798,75
text__letter truist,1.8923371729393648,76
text__year closed,1.8920228512447137,77
text__received late,1.891772354213095,78
text__appreciate help,1.8900125288595897,79
text__enclosures,1.8899203680900178,80
text__agent assured,1.880272386678413,81
text__cheat,1.8783041800721205,82
text__given time,1.878302921760552,83
text__told deposits,1.8738737982827673,84
text__home loan,1.8714900870559033,85
text__client services,1.870447408059392,86
text__bonus promo,1.8689445718038773,87
