feature,importance,rank
text__bank america,3.3482224020496836,1
text__deposited closed,2.7373631703945986,2
text__fargo opened,2.57398613322995,3
text__chase charged,2.5475345330663437,4
text__bank honored,2.5157074544034024,5
text__fees,2.491485980534941,6
text__financial center,2.409633487355353,7
text__cashed twice,2.408621012944981,8
text__boa,2.2959930619642406,9
text__bonus sent,2.247234342352522,10
text__direct express,2.2425410183511407,11
text__fee,2.2227648547853547,12
text__charge requested,2.16423156419295,13
text__following dates,2.1603939771253877,14
text__times resolve,2.1562687051524114,15
text__account continues,2.151140267807207,16
text__sold car,2.151047075038501,17
text__stating credit,2.150093202202349,18
text__online login,2.144108867165268,19
text__close check,2.129615302584384,20
text__submitted claims,2.127940925960842,21
text__went td,2.11655749169951,22
text__td,2.1089894108107288,23
text__investment opportunities,2.062940760949852,24
text__resolution team,2.0600940590362047,25
text__fraud blocked,2.058417222941799,26
text__completed terms,2.0530782959961296,27
text__refund nsf,2.04739621450718,28
text__accounts attempted,2.038585566385156,29
text__bank mishandled,2.0203286843852766,30
text__promises,2.018667599513822,31
text__calls told,2.016000434368559,32
text__saying claim,2.013437384094682,33
text__huntington,2.013358048572969,34
text__didnt access,2.011144393863991,35
text__firstly,2.006601680871952,36
text__bureau complaint,2.005754091382268,37
text__second fee,2.0053323210888343,38
text__deposited called,2.0015349524105037,39
text__bofa,1.9934630809473843,40
text__regulations bank,1.9899028049601075,41
text__available wells,1.9875656177998857,42
text__fargo fraud,1.9873433000346805,43
text__check didnt,1.984590796676325,44
text__available withdraw,1.9832125757142889,45
text__went asked,1.9731644295582111,46
text__approve dispute,1.9577816102630938,47
text__did trust,1.9562597939444688,48
text__account won,1.9560391198087799,49
text__cycle,1.9476861705811597,50
text__said company,1.943271626130637,51
text__contacted text,1.942696382963352,52
text__upgraded,1.9397100902493731,53
text__stating charge,1.9363722018540992,54
text__serial,1.9334201811164176,55
text__provision credit,1.9333842876210363,56
text__eligible refund,1.9314924033888135,57
text__reason charged,1.9304016553624386,58
text__email notice,1.9293836521886645,59
text__like asked,1.92928649827191,60
text__way work,1.9273962597692338,61
text__checking debit,1.926912589403323,62
text__service resolution,1.9269107136047166,63
text__clear violation,1.9175982411135704,64
text__appreciate help,1.9147720234461754,65
text__payroll provider,1.9123248528345786,66
text__year closed,1.9095872625013954,67
text__report immediately,1.9083063729276917,68
text__contacting cfpb,1.9077865743487676,69
text__agent assured,1.9003689025155504,70
text__pin attempts,1.900136196825432,71
text__company involved,1.8997171795298946,72
text__bonus promo,1.899346085981566,73
text__letter truist,1.8949949809362956,74
text__order number,1.8943520619873337,75
text__overdraft called,1.893737204710806,76
text__pnc closed,1.8912521874408887,77
text__accepted funds,1.8912145798682387,78
text__cheat,1.8907491880703562,79
text__told deposits,1.8890228141169445,80
text__later hold,1.8869646532281321,81
text__charged maintenance,1.8849253246449107,82
text__bank deducted,1.8825290020916305,83
text__check didn,1.8800526523827268,84
text__deposit cd,1.879205411417392,85
text__received late,1.8782516709976145,86
text__home loan,1.8778802081459252,87
text__contact contacted,1.8728405367776593,88
text__want report,1.872698145298949,89
text__declined transaction,1.8700464123954257,90
text__complaint day,1.8674063039107898,91
text__client services,1.8670204765972465,92
text__transfers funds,1.8657413831647176,93
text__logins,1.8630646823728274,94
text__given time,1.8593252201726658,95
text__enclosures,1.8499368058289314,96
text__supposed sent,1.8465640949279265,97
text__atm dispensed,1.8396373728055209,98
text__time opened,1.8393913112177502,99
text__fraud date,1.8387176500148803,100
text__asked debit,1.8288862790028844,101
text__fargo informed,1.8284885394353048,102
text__notify account,1.828312699535325,103
text__bonus deposit,1.8280746028628487,104
text__hold till,1.8231820789697961,105
text__prove account,1.8200298074372996,106
text__given option,1.8130880231430913,107
text__change information,1.8127966754520775,108
text__happened day,1.8119560312459524,109
text__information thought,1.810673181547046,110
text__received explanation,1.8103189775517163,111
text__kept telling,1.8099067494964776,112
text__used filed,1.8077622283886405,113
text__boa credit,1.8074925270420652,114
text__safely,1.806621817996416,115
text__sharing,1.8060072111592875,116
text__supervisors,1.8058612043238196,117
text__citibank locked,1.805367144195278,118
text__released told,1.80285237665683,119
text__come checking,1.7981435159282362,120
text__deceased mother,1.7925561024608645,121
text__rejecting,1.7888311932310903,122
text__money refuse,1.7883105087503008,123
