feature,importance,rank
"geo_cat__Company_BANK OF AMERICA, NATIONAL ASSOCIATION",0.08892399,1
"geo_cat__Company_CITIBANK, N.A.",0.03247501,2
text_signals__bonus,0.024896437,3
text_signals__fee,0.021998674,4
text_signals__fees,0.021641623,5
topic_cat__company_primary_topic_9.0,0.020614032,6
num__max_dollar_amount,0.018131353,7
"geo_cat__Company_Block, Inc.",0.0178696,8
geo_cat__Company_Chime Financial Inc,0.01612588,9
topic_cat__company_primary_topic_Unknown,0.014898211,10
geo_cat__Company_CAPITAL ONE FINANCIAL CORPORATION,0.014382169,11
text_signals__charged,0.013945135,12
num__dollar_amount_count,0.012591591,13
text_signals__atm,0.012547296,14
geo_cat__Company_TD BANK US HOLDING COMPANY,0.011862072,15
"geo_cat__Company_HUNTINGTON NATIONAL BANK, THE",0.010623399,16
text_signals__claim,0.010115382,17
text_signals__santander,0.009812641,18
text_signals__promotion,0.008483327,19
"geo_cat__Company_CITIZENS FINANCIAL GROUP, INC.",0.00787299,20
geo_cat__Company_Comerica,0.007688355,21
text_signals__credited,0.0073818928,22
geo_cat__Company_Netspend Corporation,0.007358404,23
geo_cat__Company_UNITED SERVICES AUTOMOBILE ASSOCIATION,0.0073159877,24
geo_cat__Company_TRUIST FINANCIAL CORPORATION,0.0072895866,25
text_signals__charges,0.007246372,26
geo_cat__Company_ROBINHOOD MARKETS INC.,0.0071535027,27
geo_cat__Company_BB&T CORPORATION,0.0066093816,28
"geo_cat__Company_Credit Karma, LLC",0.006379561,29
geo_cat__Company_WELLS FARGO & COMPANY,0.006213805,30
num__refund_count,0.006091045,31
text_signals__privacy,0.006059922,32
geo_cat__Company_JPMORGAN CHASE & CO.,0.006034234,33
geo_cat__Company_PNC Bank N.A.,0.005942432,34
topic_cat__company_primary_topic_4.0,0.00583974,35
topic_cat__company_primary_topic_2.0,0.005691153,36
text_signals__charge,0.0055623013,37
"geo_cat__Company_Early Warning Services, LLC",0.005530623,38
text_signals__refunded,0.0055238362,39
"geo_cat__Company_SANTANDER BANK, NATIONAL ASSOCIATION",0.005372345,40
geo_cat__Company_HSBC NORTH AMERICA HOLDINGS INC.,0.0053682528,41
"geo_cat__Company_AXOS FINANCIAL, INC.",0.0052880268,42
text_signals__immediately called,0.0052672224,43
geo_cat__Company_U.S. BANCORP,0.005201564,44
geo_cat__Company_AMERICAN EXPRESS COMPANY,0.0051400345,45
text_signals__restricted,0.0048770765,46
geo_cat__Company_REGIONS FINANCIAL CORPORATION,0.004743874,47
num__legal_count,0.004637427,48
"geo_cat__Company_Fidelity National Information Services, Inc. (FNIS)",0.004635954,49
geo_cat__Company_Albert Corporation,0.0045284554,50
geo_cat__Company_ALLY FINANCIAL INC.,0.004345704,51
"geo_cat__Company_Coinbase, Inc.",0.0043063243,52
text_signals__credit report,0.004245487,53
"geo_cat__Company_SOFI TECHNOLOGIES, INC.",0.0042311964,54
text_signals__charging,0.004114978,55
geo_cat__Company_M&T BANK CORPORATION,0.0040390184,56
geo_cat__Company_BBVA FINANCIAL CORPORATION,0.0040187985,57
geo_cat__Company_FIFTH THIRD FINANCIAL CORPORATION,0.004012292,58
"geo_cat__Company_FIRST CITIZENS BANCSHARES, INC.",0.0039540837,59
text_signals__called,0.0039517637,60
"geo_cat__Company_OPTUM BANK, INC.",0.0038170412,61
topic_cat__company_primary_topic_6.0,0.0038094313,62
num__char_len,0.0037777147,63
text_signals__machine,0.0037176027,64
geo_cat__State_NE,0.0036955492,65
geo_cat__Company_NAVY FEDERAL CREDIT UNION,0.0036332384,66
topic_cat__issue_primary_topic_Unknown,0.0035971275,67
topic_cat__company_primary_topic_3.0,0.0035911521,68
text_signals__laws,0.0035510985,69
geo_cat__Company_GOLDMAN SACHS BANK USA,0.0035220897,70
geo_cat__Company_BANK OF HAWAII CORPORATION,0.0034785527,71
topic_cat__company_primary_topic_1.0,0.003467081,72
topic_cat__company_primary_topic_7.0,0.0033865848,73
geo_cat__Company_FIRST NATIONAL BANK OF PENNSYLVANIA,0.003255081,74
text_signals__identity,0.003214658,75
"geo_cat__Company_ARVEST BANK GROUP, INC.",0.0032122957,76
text_signals__capital,0.0031914876,77
num__police_fraud_count,0.0031804324,78
geo_cat__Company_BMO BANK NATIONAL ASSOCIATION,0.003148916,79
text_signals__tax refund,0.003142989,80
num__duration_mention_count,0.0031316814,81
geo_cat__State_LA,0.0031266315,82
geo_cat__State_IA,0.003085296,83
geo_cat__Company_BANCO POPULAR DE PUERTO RICO,0.0030722085,84
topic_cat__issue_primary_topic_7.0,0.0030498516,85
geo_cat__Company_AMERICA FIRST FEDERAL CREDIT UNION,0.0029573156,86
"geo_cat__Company_CHARLES SCHWAB CORPORATION, THE",0.002926173,87
"geo_cat__Company_Bread Financial Holdings, Inc.",0.002908297,88
"geo_cat__Company_PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",0.0029036696,89
text_signals__practices,0.0029031786,90
text_signals__days,0.0028756575,91
topic_cat__issue_primary_topic_4.0,0.0027712665,92
"geo_cat__Company_SANTANDER HOLDINGS USA, INC.",0.0027681256,93
geo_cat__Company_KEYCORP,0.002715259,94
geo_cat__Company_STATE EMPLOYEES CREDIT UNION,0.0027113857,95
topic_cat__company_primary_topic_8.0,0.0027092074,96
geo_cat__Company_ZIONS BANCORPORATION,0.0027037805,97
topic_cat__company_primary_topic_5.0,0.0026946117,98
text_signals__karma,0.002667212,99
"geo_cat__Company_SUNTRUST BANKS, INC.",0.0026597776,100
"geo_cat__Company_EVERBANK, NATIONAL ASSOCIATION",0.0026513329,101
geo_cat__Company_NEW YORK COMMUNITY BANCORP INC,0.0026252929,102
geo_cat__Company_Payfare International Inc.,0.0026238272,103
geo_cat__Company_TCF NATIONAL BANK,0.0026207382,104
"geo_cat__Company_Social Finance, Inc.",0.0026019993,105
geo_cat__Company_ADP Inc.,0.0025444361,106
text_signals__td,0.0025324319,107
geo_cat__State_WI,0.0025199333,108
"geo_cat__Company_PROSPERITY BANCSHARES, INC.",0.0024859833,109
text_signals__robinhood,0.0024487178,110
geo_cat__Company_FISERV FINXACT CORE,0.0023783143,111
geo_cat__State_OK,0.0023684239,112
num__total_dollar_amount,0.0023510915,113
geo_cat__Company_MORGAN STANLEY & CO. LLC,0.0023385955,114
topic_cat__issue_primary_topic_6.0,0.0023373626,115
geo_cat__State_UT,0.0023359088,116
geo_cat__State_NV,0.0023178628,117
geo_cat__Company_DISCOVER BANK,0.002317666,118
geo_cat__Company_FIRST NATIONAL BANK OF OMAHA,0.002266661,119
geo_cat__Company_FIRSTBANK PUERTO RICO,0.0022534437,120
text_signals__refund,0.0022303525,121
"geo_cat__Company_Paypal Holdings, Inc",0.0021891524,122
num__urgency_count,0.0021754014,123
num__question_mark_count,0.0021744547,124
num__regulatory_count,0.00209391,125
geo_cat__State_NM,0.0020916676,126
num__account_ref_count,0.0020761713,127
"geo_cat__Company_Dave Operating, LLC",0.0020678125,128
geo_cat__Company_PENTAGON FEDERAL CREDIT UNION,0.0020524047,129
topic_cat__company_primary_topic_0.0,0.0020468642,130
geo_cat__State_WV,0.0020216652,131
geo_cat__Company_EAST WEST BANK,0.0020207462,132
topic_cat__issue_primary_topic_0.0,0.0020143534,133
geo_cat__State_AL,0.0020087878,134
geo_cat__Company_BOK FINANCIAL CORP,0.0020041182,135
num__sentence_count,0.001994925,136
num__exclamation_count,0.0019882733,137
text_signals__credit karma,0.0019874468,138
text_signals__card information,0.0019778274,139
text_signals__returned,0.001963273,140
geo_cat__State_MD,0.001961578,141
num__paragraph_count,0.0019600545,142
geo_cat__State_ID,0.0019506111,143
text_signals__citi,0.0019278148,144
geo_cat__State_IN,0.0019253419,145
num__quoted_speech_count,0.001903799,146
geo_cat__Company_SUNCOAST CREDIT UNION,0.001896004,147
geo_cat__State_RI,0.0018932376,148
text_signals__consumer,0.0018908518,149
geo_cat__State_CO,0.0018875943,150
text_signals__citibank,0.0018826379,151
geo_cat__Company_First Technology Federal Credit Union,0.0018772753,152
num__lexical_diversity,0.0018732988,153
text_signals__total,0.0018719297,154
num__contact_attempt_count,0.0018615221,155
geo_cat__Company_Indie Technology DBA Found,0.0018561475,156
num__caps_ratio,0.0018470319,157
geo_cat__State_OH,0.0018464542,158
geo_cat__State_CA,0.0018408946,159
geo_cat__State_KY,0.0018403585,160
topic_cat__issue_primary_topic_1.0,0.0018366508,161
geo_cat__Company_Conduent Incorporated,0.001822389,162
"geo_cat__Company_Flagstar Bank, N.A.",0.0018202314,163
geo_cat__Company_COMMERCE BANK,0.0018186569,164
geo_cat__State_SD,0.0017983402,165
"geo_cat__Company_FIRST HAWAIIAN, INC.",0.0017974913,166
"geo_cat__Company_Affirm Holdings, Inc",0.0017915708,167
num__word_count,0.0017912948,168
geo_cat__Company_CapitalJ Inc. dba Juno,0.0017849426,169
geo_cat__State_MI,0.0017707432,170
geo_cat__State_AE,0.0017551181,171
num__negative_emotion_count,0.0017540206,172
num__avg_word_len,0.0017530086,173
num__avg_sentence_len,0.0017508953,174
geo_cat__Company_BANK OZK,0.0017443281,175
"geo_cat__Company_WESBANCO BANK, INC.",0.0017355316,176
num__flesch_kincaid,0.001734144,177
geo_cat__Company_FinCo Services Inc DBA Current,0.0017268287,178
geo_cat__Company_WSFS FINANCIAL CORPORATION,0.0017221113,179
geo_cat__State_MN,0.001718308,180
geo_cat__State_OR,0.0017059147,181
topic_cat__issue_primary_topic_8.0,0.0016939018,182
geo_cat__State_NY,0.00168046,183
topic_cat__issue_primary_topic_3.0,0.0016673859,184
geo_cat__State_NJ,0.0016621478,185
geo_cat__Company_Synovus Bank,0.0016497715,186
geo_cat__Company_BANK OF THE WEST,0.0016454502,187
geo_cat__Company_NBT BANCORP INC.,0.0016400993,188
text_signals__having sufficient,0.0016330332,189
num__date_count,0.0016116505,190
geo_cat__Company_MUFG AMERICAS HOLDINGS CORPORATION,0.0016104492,191
"geo_cat__Company_UPGRADE, INC.",0.0016073652,192
geo_cat__Company_BARCLAYS BANK DELAWARE,0.0016068164,193
geo_cat__State_MO,0.0016053783,194
geo_cat__Company_UMB FINANCIAL CORPORATION,0.0015965815,195
"geo_cat__Company_FIRST MIDWEST BANCORP, INC.",0.0015964882,196
geo_cat__Company_OLD NATIONAL BANCORP,0.0015769257,197
text_signals__boa,0.001570499,198
geo_cat__State_TX,0.0015593101,199
text_signals__settled,0.0015347772,200
