feature,importance,rank
text__findings,0.028025484,1
text__regarding multiple,0.012496776,2
text__bank america,0.012045218,3
cat__primary_topic_7,0.008476086,4
text__similar,0.006933433,5
text__fee,0.006838664,6
cat__primary_topic_10,0.0066532204,7
text__bonus,0.004856934,8
text__similar practices,0.0046053957,9
text__capital,0.003757211,10
text__request investigation,0.003499053,11
text__citibank,0.0033251909,12
text__having sufficient,0.0032959485,13
cat__primary_topic_5,0.0032025818,14
text__atm,0.003161239,15
text__settled,0.0031186158,16
text__cash app,0.0028166007,17
text__refunded,0.0024843477,18
text__claim,0.0024597573,19
text__fees,0.0024272194,20
text__td,0.002131422,21
text__police report,0.0020121578,22
text__huntington,0.0019577902,23
text__robinhood,0.001927858,24
text__charge,0.0018225093,25
text__boa,0.0017695293,26
text__credit report,0.0016695283,27
text__santander,0.0016610218,28
text__rights,0.0016461989,29
text__noticed,0.0016432498,30
text__charges,0.0016235647,31
text__charged,0.0015241444,32
text__citi,0.001462776,33
text__complaint navy,0.0014600185,34
text__cashapp,0.0014473412,35
text__td bank,0.0014169889,36
text__verification,0.0014143335,37
text__restricted,0.0013880611,38
text__reversed,0.0013807919,39
text__bofa,0.0013677302,40
text__open account,0.0013539743,41
text__identity,0.0013423658,42
text__credit karma,0.0013092745,43
text__machine,0.0013054914,44
text__truist,0.0013026653,45
text__netspend,0.0012672149,46
text__credited,0.0012649877,47
text__promotion,0.0012581947,48
text__called,0.0012474604,49
text__consumer,0.0012458102,50
text__ssn,0.0012296959,51
text__totaling,0.0012266145,52
text__open,0.0012117212,53
text__laws,0.0012049372,54
text__chime,0.0011983378,55
text__returned,0.0011973412,56
text__fargo did,0.0011506847,57
text__marcus,0.0011359417,58
text__link,0.0011306406,59
text__refund,0.0011192466,60
text__verify,0.0011087449,61
text__axos,0.0010959243,62
text__card information,0.0010894669,63
text__reporting,0.0010757992,64
text__statements,0.0010746045,65
text__violated,0.0010741543,66
text__power attorney,0.0010645116,67
text__transactions,0.0010607668,68
text__total,0.0010603275,69
text__privacy,0.0010599338,70
text__open bank,0.0010546895,71
text__miles,0.0010510933,72
text__related,0.0010434898,73
text__locked,0.0010415904,74
text__checks deposited,0.001040233,75
text__days,0.0010232659,76
text__charging,0.0010206046,77
text__legal,0.0010136822,78
text__optum,0.0010050505,79
text__non,0.0010032372,80
text__check clear,0.0009806174,81
text__access,0.0009769229,82
text__release,0.00096930994,83
text__square,0.0009686793,84
text__significant,0.0009661523,85
text__hsbc,0.000964925,86
text__suspended,0.00096382666,87
text__hacked,0.0009423467,88
text__restriction,0.0009352506,89
text__did open,0.0009293283,90
text__real,0.00092756253,91
text__unlock,0.0009228897,92
text__frozen,0.0009198111,93
text__deposits account,0.0009198095,94
text__citizens,0.0009182575,95
text__capital bank,0.00091617845,96
text__albert,0.0009156779,97
text__temporary credit,0.00091533834,98
text__inaccurate,0.0009149424,99
text__cashed,0.0009081288,100
text__chime account,0.00090742385,101
text__stolen,0.0009070275,102
text__express,0.0009016449,103
text__security number,0.0008984725,104
text__debit,0.00089639117,105
text__reason,0.00089542306,106
text__lied,0.00088998646,107
text__credit account,0.00088783813,108
text__image,0.00088365446,109
text__settlement,0.0008826371,110
text__compromised,0.00088246685,111
text__tax,0.000879313,112
text__hold,0.0008792469,113
text__fifth bank,0.00087399204,114
text__jpmorgan,0.0008693679,115
text__executive office,0.0008685229,116
text__application,0.00086585036,117
text__immediately called,0.00085858564,118
text__opportunity,0.0008575903,119
text__started,0.0008571326,120
text__chase,0.00085320795,121
text__credit reporting,0.00085300166,122
